0.974243,-0.092407,0.118774,-0.488281,0.427246,2.01416
0.965942,-0.08728,0.120117,2.685547,0.549316,2.197266
0.990845,-0.096313,0.122192,4.760742,0.854492,1.281738
0.972168,-0.11084,0.107666,4.02832,-0.793457,1.647949
0.971191,-0.087524,0.11731,3.051758,-0.488281,1.464844
0.979126,-0.091675,0.108887,0.732422,0,1.647949
0.970337,-0.090698,0.122437,2.502441,1.647949,0.793457
0.971924,-0.098267,0.104858,2.746582,0.915527,1.281738
0.972534,-0.099609,0.099854,3.662109,2.746582,2.01416
0.95813,-0.109375,0.071167,15.319824,3.90625,3.662109
0.985596,-0.095093,0.106567,1.77002,0.854492,2.197266
0.970459,-0.095703,0.094604,3.295898,-0.366211,2.01416
0.973511,-0.098389,0.096924,2.075195,0.427246,1.525879
0.970337,-0.098389,0.085693,1.403809,-0.488281,1.89209
0.972778,-0.081665,0.097534,2.929688,-0.427246,1.831055
0.978516,-0.078003,0.099243,2.624512,-0.305176,1.647949
0.973633,-0.090454,0.099365,2.929688,0.366211,2.197266
0.970459,-0.084717,0.098267,2.990723,0.366211,1.098633
0.971436,-0.094727,0.09314,2.929688,-0.366211,1.647949
0.97583,-0.086304,0.09668,2.441406,-0.732422,1.647949
0.973877,-0.091064,0.095337,2.807617,-0.427246,1.586914
0.973511,-0.087402,0.098389,2.868652,-0.610352,1.464844
0.970581,-0.088135,0.098267,3.173828,-0.061035,1.586914
0.972412,-0.08667,0.097168,3.112793,-0.549316,1.281738
0.975342,-0.09436,0.100098,3.051758,-0.427246,1.403809
0.970093,-0.086548,0.096313,3.112793,-0.488281,1.647949
0.973145,-0.081299,0.101196,2.868652,-0.549316,1.342773
0.981812,-0.08606,0.101685,3.112793,-0.305176,1.647949
0.9729,-0.089355,0.097656,2.929688,-0.12207,1.586914
0.974121,-0.084351,0.097412,3.112793,-0.305176,1.098633
0.978027,-0.092651,0.095703,2.868652,-0.732422,1.831055
0.973511,-0.089233,0.09668,2.441406,-0.488281,1.281738
0.977173,-0.094116,0.095459,3.051758,-0.12207,1.403809
